Gene,GSM3574340,GSM3574341,GSM3574342,GSM3574343,GSM3574344,GSM3574345,GSM3574346,GSM3574347,GSM3574348,GSM3574349,GSM3574350,GSM3574351,GSM3574352,GSM3574353,GSM3574354,GSM3574355,Symbol
Ecel1,4.11424,3.17032,3.00758,1.02317,7.01503,3.00367,1.00047,0,6.58747,2.08502,1.00344,0,1.00187,0,1.00238,0,Ecel1
Lipf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Lipf
Etf1,3047,3280,2732,4813,3272,3425,1536,2420,3017,3783,2036,1986,2124,2359,1893,328,Etf1
Smtn,647.53,904.022,164.063,697.299,425.507,5059.06,588.627,215.082,4327.98,531.754,44.892,41.3813,65.0259,122.974,400.599,60.291,Smtn
Rps5,1608,1957.9969,446,1768,1110.0004,7541.0029,1362,581.9999,7102.0016,1417.99576,218,213,298.99964,448,1275.0013,293,Rps5
Ap4b1,576,650,321,842,546,1028,427,411,905,684,204,193,247,242,454,70,Ap4b1
Kars1,2909,3315,1083,3365,2181,5666,1940,1317,5471,2818,660,500,737,1084,2608,410,Kars1
Shpk,52,50,23,73,73,124,75,29,145,53,24,15,24,56,46,4,Shpk
Oaz1,807,1249,149,759,566,13012,1183,208,11456,672,57,41,80,159,555,117,Oaz1
Zbtb3,32,50,21,44,35,89,8,11,53,22,5,2,11,8,11,12,Zbtb3
Mad2l1bp,85,99,24,88,54,194,63,40,186,67,13,10,25,23,56,4,Mad2l1bp
Ttc9c,734,739,583,970,883,840,409,551,652,892,479,415,462,509,491,137,Ttc9c
Gnai3,2662,2538,1935,3776,3015,2876,1597,1932,2493,3445,1710,1404,1589,2044,1811,373,Gnai3
Agpat2,218,228,64,189,206,607,174,81,653,253,37,29,40,68,206,37,Agpat2
Fer1l4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fer1l4
Rce1,98.00002,101,30,114,85,332.9999,31,33.9999557258,208.9997,56,16.99997,14,26,26.99997,75,6,Rce1
Hao2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,Hao2
Ackr2,61,82,12,43,32,127,25,19,182,42,7,2,6,11,10,4,Ackr2
Dcun1d2,1042,1130.2543,756,1394.7309,1006,1812.6019,668,643,1523,1204.2679,382.455,403.0000295858,514.99384363,510.8724,624,151.9573692,Dcun1d2
Rsph9,7,4,3,5,2,35,4,1,23.99995,8,3,2,1,1,3,3,Rsph9
Agap1,436.9998,504.0002,225.9996,515.9998,457.0003,1812.002,377.0003,270.9997,1639.996,466.0003,179.99982,203.99969,229.00012,273,308.0003,66,Agap1
Zmynd15,33,20,7,23,35,85.0844,2,12,93.0464,22,6,2,2,6,13,7,Zmynd15
Irf9,656,509,268,833,571,1208,392,377,1183,505,417,164,279,326,260,106,Irf9
Klf17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Klf17
Cyp8b1,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,Cyp8b1
Gnao1,279,440,142,294,179,651,132,124,411,311,78,52,64,86,164,22,Gnao1
Slc6a9,12.99997,32,2.999999,15,39,120,23,9,129.000312,35,8,5,9,6,18.99999,9,Slc6a9
Bckdk,1069.9986,1194.9981,308.9997,1066.9997,763.0002,4253.9962,765.00029,386,3883.001,880.9999,130.9997,93,151.9998,239,672.0004,162.9996,Bckdk
Trpv1,17.99999,9.99999,9,20.99997,13,27.99998,14,10,27.00001,22.99998,7,5,7,6,13.99997,9,Trpv1
Armt1,1457.99567,1585.0042,1135.99657,2343.0037,1423.00207,1844.0016,746.9997,966.00038,1659.0009,1716.0009,696.9995,661.99961,899.0003,1004.99955,991.00045,169.00022,Armt1
Slc20a2,1651,1826,1122,1998,2009,4526,927,1407,3654,2259.99812,721,744,815,1055,1044,258,Slc20a2
Stard10,94,215,29,94,45,512.0001,55,28,494.0002,83,14,10,16,21,72,11,Stard10
Pomgnt2,25,42,6,40,27,388,46,14,370,38,1,1,7,13,26,6,Pomgnt2
Gbx2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,Gbx2
Stat5a,167.599,204.844,42.4739,170.602,112.88,639.599,130.483,71.1541,608.702,160.569,23.3868,12,30.5007,42.4893,94.3934,17,Stat5a
Mrpl17,2853,3191,1400,4217,2068,4595,1761,1332,3655,2494,756,662,942,1099,1750,312,Mrpl17
Cyp1a1,0,12,2,0,19,9,6,1,34,1,0,2,0,33,5,0,Cyp1a1
Rmnd1,992,1082,703,1433,929,1205,657,634,1131,1138,354,302,432,495,606,192,Rmnd1
Rec8,1,0,0,4.0262601,3.0000007,0,0,0.9999997,1.0000002,6.0494737,0,0,0,0,0,0,Rec8
Adprhl1,769.824,776.628,204.415,540.388,509.803,3301.92,362.44,203.914,2978.15,567.155,96.1546,64.5331,106.52,151.434,286.169,115.282,Adprhl1
Dnajb2,1467.0003,1594,660,2147,1065.0042,3407.0006,905,619.9996,2878.99503,1351.0031,296,236,306.99974,512.99955,787.0005,116,Dnajb2
Hnrnpul2,1786,1967,1279,2313,1938,2719,1003,1299,2347,2021,922,745,981,1141,1293,240,Hnrnpul2
Wars2,354.18,292.225,182.118,306,286.966,481.08,154.107,179,472.196,334.017,122,93.001,150.477,176.225,199.4,35,Wars2
Fbxl15,9,12,1,10,9,52,1,2,43,10,1,0,0,3,4,0,Fbxl15
Tm4sf5,1,6,3,6,3,5,0,5,0,3,3,1,5,4,13,0,Tm4sf5
Mrps18a,551,654,116,619,325,1541,327,127,1234,323,44,34,61,109,263,63,Mrps18a
Pde4c,46,86,22,50,39,348,50,21,303,46,6,2,6,16,39,13,Pde4c
Idnk,150.6,171.867,92.6476,198.606,176.549,242.141,41.1155,103.676,196.791,205.826,73.6641,47.1798,75.6996,105.324,121.729,19.0611,Idnk
Ciao3,704.93,830.918,281.936,825.975,527.966,2590.86,499,258.826,2120.74,683.901,96,85,142,194.908,474.765,103,Ciao3
Hspa9,28856,30753,24229,46038,30251,26964,16399,19881,22909,30781,11176,11121,14401,18290,15165,3105,Hspa9
Chrnd,14,12,4,11,19,51,3,7,55,9,3,2,7,3,16,3,Chrnd
Plekhg6,12,15,3,21,15,59,26,5,52,23,8,7,4,12,13,0,Plekhg6
Btbd1,8566,9024,6952,13651,11216,10155,5447,7024,8811,10853,6472,6000,7328,8194,6679,1427,Btbd1
Emc10,329,423,84,385,249,2405,313,130,2012,287,37,19,46,64,147,17,Emc10
Klhl3,7,8,10,6,2,80,4,4,53,7,2,2,0,0,14,0,Klhl3
Ap2a2,1189.0009,1249.9981,654.0005,1539.9955,1258.0039,2688.51,746.00043,701.0004,2341,1209.0036,488.99982,405.00037,522.99951,645.00024,728.9997,175.00017,Ap2a2
Smim3,1282,1456,657,1613,1136,2437,762,755,2182,1390,502,504,533,825,827,237,Smim3
Ifgga2l1,967.982,418.833,466.618,1024.02,918.47,784.41,631.059,626.222,802.082,882.322,909.461,214.173,551.188,557.693,412.076,123.287,Ifgga2l1
Zbtb2,182,182,113,231,146,350,104,163,235,220,99,105,112,89,112,22,Zbtb2
Akap12,1562.003,1653,836,1789.0030047571,1355.003,3008.00300002527,976,742.0003,2821.0020357924,1497.999,778,602.9996,663.0002,809.0005,1033.0001,134.0002,Akap12
Slc11a2,699.83050281064,914.000161,410.9995,807.999900037157,582,1821.88944,426.0001,388.00014,1271.73949,813.6651,151.99976,95.00002,147.99961,229.00006,343.00008,33.99996,Slc11a2
Psmb6,890.902,975.306,245.919,897.176,484.844,2839.6,483.324,174.094,2094.35,663.612,108.886,110.931,99.2586,211.035,430.691,129.081,Psmb6
Lsm7,125,150,33,168,101,615,79,51,580,115,13,28,21,17,65,5,Lsm7
Ipo4,287,297,66,278.974,224,1391,203,104,1309,220.951,56,43,65,89,154,38,Ipo4
Arap1,588,718,148,644,446,2986,475,204,2450,488,77,48,62,124,304,42,Arap1
Cd9,2050,2066,863,2347,1821,3683,1127,1181,3428,1915,808,977,792,986,1202,334,Cd9
Asb18,83,105,17,78,73,519,104,27,792,71,15,14,21,44,146,17,Asb18
Eaf1,502.855,525.711,362,867.61,552.693,832.646,327,332.845,796.336,621,274,249,239,263,304,33,Eaf1
Pde2a,909.00027855,991.000153576,326.99972876,1085.00390207,708.9995463,2963.0023,587.000127722,393.000162997,2765.996,915.000396629,141.99956654,110.00010888,209.0000003009,283.000000740615,691.0000306,137,Pde2a
Tbx15,4,9,0,5,0,9,0,9,10,18,1,1,2,2,2,0,Tbx15
Jund,248,289,169,547,338,1109,244,214,776,373,118,106,133,156,164,25,Jund
Gng3,76,108,48,107,51,160,56,41,140,79,24,27,28,44,45,5,Gng3
Lsm4,172,184,27,167,78,650,100,40,529,103,9,9,15,22,63,12,Lsm4
Lcat,74,98,26,86,44,199,45,37,104,75,5,9,10,15,25,6,Lcat
Cuedc2,147,181,44,197,114,442,111,49,419,136,14,6,26,39,83,19,Cuedc2
Rell2,0,2,0,0,1.107,4.69284,0,0,3.22153,0,0,0,0,0,0,0,Rell2
Adamts19,851,892,398,707,607,1045,518,279,663,494,179,122,243,291,297,65,Adamts19
Rps16,5183.96261,5355.9924,1919.58286,6521.49327,3634.73133,15824.5949,4119.9593,2502.0859,15034.3193,4730.0243,1613.94375,1530.66972,1530.08662,1679.0531,3818.4783,667,Rps16
Edc3,185,176,74,177,153,333,118,88,368,156,46,39,40,99,123,22,Edc3
Mthfd1l,87,69,35,67,78,185,49,33,257,127,27,17,35,34,113,31,Mthfd1l
Dlk1,0,4.000004,1,3,2,12,1,2,20.00005,1,0,0,0,1,2,0,Dlk1
Ccdc24,0,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,Ccdc24
Ptprn,4,3,0,2,2,19,1,1,24,4,1,1,0,0,3,0,Ptprn
Tas1r3,2,4,1,2,3,5,2,0,6,2,0,0,0,0,1,0,Tas1r3
Smg5,949.3951,1078.02402,381.2385,1043.27828,730.87846,3260.3211,574.0212,407.6805,2699.98,948.66082,191.6703,113.5534,212.3495,319.8935,514.555,75.14552,Smg5
Iqca1,29.9999525,23,11,16,34,83,9,9,79,47,9,5,6,12,7,0,Iqca1
Smg9,25,49,5,25,23,269,21,2,249,29,3,3,3,3,15,0,Smg9
Vegfa,8968.00042,8765.004078,4377.004,9841.0021,7813.0042,20306.9678,5007.99889,4523.0018,13955.984,7122.0008,2690.99592638,2779.99671594,3303.00282531,3282.9967315,3508.00195,982.0001403,Vegfa
Or10a2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or10a2
Or10a4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or10a4
Pld2,281,334,71,243,209,1046,187,98,835,259,34,15,43,73,159,33,Pld2
Trpv3,2,7,0,1,1,9,0,1,7,1,3,2,1,6,2,1,Trpv3
Bglap,0,0,1,2,0,8,0,0,4,0,0,1,0,0,2,0,Bglap
B4galt2,46,78,12,48,47,349,84,23,327,53,4,5,1,16,29,3,B4galt2
Haghl,11.0702,10.082,4.06433,3.02507,8.03353,72.1399,7,5.17442,65.2575,10.0986,2,1,2,4.09208,6.23465,0,Haghl
Syt9,11,7,2,8,6,14,3,7,7,3,2,2,7,2,1,0,Syt9
Ptpn22,46,75,53,109,58,114,64,54,84,78,53,40,45,63,65,6,Ptpn22
Colq,108,101,32,82,112,572,77,59,710,143,28,20,35,61,140,30,Colq
Prss8,0,0,1.03481,1.04814,2.07324,4.07265,4.07302,0,4.05948,2.03762,0,0,0,2.0512,0,0,Prss8
Hdac3,900,1025,410.0001,1111.9955,779.9995,1396,481.0003,456.0001,1153,828.0003,216.0003,148.0002,274.0004,376.999657302,636.0003,126,Hdac3
Pmf1,69.00005,68.99996,13,85.99996,40,175.9996,61,29,138.00026,59.00005,10,4,5,14,24.00002,9,Pmf1
Ackr3,2131,2141,825,2832,1696,4471,1221,1001,3513,1775,586,609,705,697,882,221,Ackr3
Morc2,739.0001,711,406,887,658,1100,372,399,1012,792,235.99979,210.9996,236,313,435,116,Morc2
Slc27a5,0,8,2,4,0,3,0,1,4,1,0,0,1,0,2,0,Slc27a5
Mybpc2,61,92,13,38,45,125,40,19,218,64,6,2,10,10,12,1,Mybpc2
Lamp1,6700.796,6763.18899,3355.658,8142.4518,6238.31733,14103.95856,4111.06908,3661.42196,12145.87784,6803.41574,2118.00287,1924.89142,2290.15709,2986.95141,4361.70364,811.579,Lamp1
Hacl1,369.116,381.66,255.916,483.042,369.899,588.769,161.616,227.578,531.591,404.183,135.096,166.678,232.661,229.876,252.628,45.853,Hacl1
Chrng,966.00021,1146.0003,474.0005,1065.0004,802,1978.9989,555.99986,488.00006,1642.00057,996.99914,206,180.00005,221.99983,351.99988,621.00041,66.99998,Chrng
Cops8,926.99,1050,528,1320,896,1948,546,580,1727,907,314,339,416,426.992,641,139,Cops8
Lmna,842.9996,984.00078,270.99965,1017.9997,659.999856288,5662.9917,718.0002,331.00012,4630.996,713.99991,132.0003,127.000215,201.0003,235.9997,324.99986,57.99999,Lmna
Pgpep1,237,312.207,167.205,351,301.219,920,164,181.211,734,267,138,151,142,129.216,169,21,Pgpep1
Pcyox1l,105,145,52,177,83,473,104,53,360,90,28,21,24,23,39,13,Pcyox1l
Osbp2,106,174,70,124,79,507,88,62,447,108,17,25,31,20,76,0,Osbp2
Cul4a,3006.00487,3519.0025,1751.99766,3737.00358,2762.99756,5542.00015,1866.0049,1810.00197,4638.00282,3027.9995,849.99989,899.00011,1054.99875,1302.00078,1667.00058,374.99998,Cul4a
Slc12a4,524,606,127,433,345,2296,334,166,1948,505,66,33,73,111,291,34,Slc12a4
Csrnp2,234.928,279.767,136.047,278.211,237.432,594.508,162.429,169.526,419.964,246.904,76.4448,81.4341,88.7041,121.344,139.863,15,Csrnp2
Btd,146,160,54,134,128,660,118,71,591,131,31,17,22,42,80,26,Btd
Aspa,65.99998,72.99996,45.0000108971,99,86.99999,58.99997,39,72,82,64.99997,52.00003,65.99998,64.00005,73.00009,67.00002,12,Aspa
Spib,2,11,2,18,6,7,0,1,14,3,0,0,1,0,3,1,Spib
Gdf15,0,1,1,0,3,21,0,0,16,0,0,0,0,1,0,0,Gdf15
Tm6sf1,963.016,919.691,700.279,1205.699,1143.686,1222.215,603.862,657.831,783.062,1137.891,556.2989,488.402,560.35682,638.3106,591.193,66.0713973,Tm6sf1
Ubxn1,680,790,184,814,450,2528,634,231,2367,570,85,56,92,188,470,91,Ubxn1
Ppfibp2,648.265,704.013,322.757,658.168,616.338,1283.779,287.507,335.991,1050.666,545.968,163.8691,113.8761,200.0465,233.4914,427.896,79,Ppfibp2
Wdr3,678,727,429,916,700,845,460,436,762,775,334,292,376,485,482,70,Wdr3
Rsbn1,566,542,567,746,925,708,219,595,517,881,636,664,599,718,477,143,Rsbn1
Mfsd13a,66,91,17,89,48,384,53,26.00001,333,53,7,8,18.00005,24.00001,43,4,Mfsd13a
Pycard,218,191,62,256,115,429,146,83,412,147,20,18,32,34,88,8,Pycard
Arid3b,80,97,28,92,97,330,40,37,250,105,27,16,33,52,85,33,Arid3b
Mst1,23,26,8,33,19,82,14,7,79,9,3,0,7,6,9,0,Mst1
Pold1,30,52,10,42,34,337,30,15,265,44,1,1,1,5,27,12,Pold1
Antkmt,34,55,6,44,29,530,25,17,417,49,6,7,7.66882,14,22,9,Antkmt
Gdpd3,3,5,1,0,0,8,0,0,6,4,1,0,0,0,1,0,Gdpd3
Art2b,9.000000625383,12,1.000000101273,8.00000112121,9.000000950094,6.000000217362,0,1.0000000527123,8,8.000000187445,4.99999624343,9.000005,6.00000188077,2.0000040826119,1.000000143066,0,Art2b
Diaph1,846,938,543,1101,1030,1529,635,620,1520,928,506,389,483,517,596,136,Diaph1
Vwf,2357,2888,571,2270,1830,17985,2486,1005,15150,2449,480,341,572,639,2449,339,Vwf
Metrn,12,14,6,7,9,171,4,2,119,10,2,0,3,2,7,0,Metrn
Clpb,647.0002,734,260,732.0004,578.9998,1829.995,567,276.99972,1743.001,579.0004,93,93.00002,148.00038,182,457.9996,77,Clpb
Il17b,1,0,0,0,1,4,0,0,2,0,0,0,0,0,0,0,Il17b
Ankrd28,1217,1187,1058,1110,1539,1789,877,921,1690,1191,569,490,554,793,908,277,Ankrd28
Ssbp4,30,38,9,32,25,511,23,14,362,48,3,3,7,3,16,0,Ssbp4
Proz,5,6,1,5,7,10,0,8,16,8,0,2,5,0,4,0,Proz
C1h11orf98,260,216,147,475,231,429,134,187,333,224,156,158,159,158,206,26,C1h11orf98
Med29,130,191,59,165,94,622,79,40,490.99989,98,28,9,35,48,85,5,Med29
Resp18,5,3,0,2,0,1,0,2,7,1,0,1,0,0,0,0,Resp18
Phox2a,12,18,18,40,28,35,8,7,32,28,7,21,15,18,14,0,Phox2a
Ctsf,565,652,228,685,422,1685,388,251,1624,592,104,81,159,248,544,77,Ctsf
Tm9sf1,687,734,306,905,554,1321,438,324,1116,653,202,142,180,273,387,90,Tm9sf1
Isoc1,131,171.5,89,123,87,459,93.5,68.5,326.5,135.5,24,24.5,38.5,46.5,107.5,29,Isoc1
Ints11,289,346.721,103,306,235.936,761.674,208.859,135,675.366,259,44.8116,29,59.9185,77,227,46,Ints11
Wdr24,150,156,26,124,73,709,140,36,595,110,19,12,12,30,62,26,Wdr24
Ntf3,65,101,27,157,55,170.9999,50.00002,55,129.99995,73,29.99996,12,55.0001,30,60,9,Ntf3
Galnt15,17,25,7,18,22,174,23,4,266,24,10,6,9,15,44,15,Galnt15
Kcna5,46,61,8,15,21,109,22,8,184,36,3,1,6,26,19,2,Kcna5
Ypel3,309,391,131,466,311,1714,309,210,1904.95,379,89,122,164,205,457,80,Ypel3
Rbm12,569,586,448,872,611,708,88.229,421,653,623,347,352,321,312,314,77.4545,Rbm12
Ganab,2228,2388,1069,2892,2027,4327,1425,1122,3768,1987,612,519,693,775,1290,277,Ganab
Actr1a,2498,2790,1232,3337,1963,5713,1523,1209,4859,2529,651,430,671,896,1443,330,Actr1a
Itgam,219.1627,197.2142,63.99999,199.0004,138,360.9537,66.10357,59.99999,341.0002,179.2545,44.99992,33.99995,55.30143,80.00001,125,26,Itgam
Jmjd8,906.626,925.6815,225.5821,812.4118,555.33,2727.2096,509.48461,274.2904,2266.9592,650.1552,108.05991,77.8086,139.5737,186.3427,460.0122,65.5484,Jmjd8
Inppl1,1395.002,1442.9991,596.99964,1483.00434731,1171.0011,4798.995,979.0000101348,652.999718,3581.998,1327.00013383,256.9996,205.0003,334,402.00034,777.0000867244,163.0000160873,Inppl1
Mrpl14,190.0004,247,45.00002,229.9996,113,1392.0019,167,83.00000819,1123.9953,146.9999,14,6,32,37.99999,122,21,Mrpl14
Dph2,67,80,21,116,47,329,97,38,331,69,19,12,24,23,54,3,Dph2
Sema4a,127.00019,131.9999,48.999956,141.0004,82.00004,485.00038038,98.00006,54.99996,462.00032,111,27.99997,19.99995,30.99998,35,84.000009,4,Sema4a
Gpr61,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,Gpr61
Hdgfl3,821.9845,883.2297,772.7203,1123.2978,1141.3163,1037.7847,454.1386,713.1694,762.9381,1048.1068,688.7015,637.5984,787.6429,722.69,554.6711,86.9286,Hdgfl3
Isyna1,127,165,20,153,71,984,112,39,789,86,9,7,11,21,78,19,Isyna1
Stat3,2749,3171,1297,3168,2460,6569,1583,1420,5597,2774,765,655,780,1090,1457,309,Stat3
Tmem63b,518,622,128,411,450,2319,477,222,1776,448,53,40,68,139,242,38,Tmem63b
Prr16,29,22,13,31,54,92,2,54,67,72,31,65,57,59,109,11,Prr16
Actn3,3,4,0,9,7,9,0,0,6.00009,5,2,0,1,0,3,0,Actn3
Paf1,885.70037,897.91499,370.1861,1183.5061,725.4108,1539.70513,530.1641,421.71758,1474.29383,758.2762,215.80842,193.059241,230.83238,326.39135,531.0297,149.7596,Paf1
Ube2j2,1249.9537,1355.9965,885.984,1956.9965,1287.98,2131.915,836.979,959.9998,1762.995,1513.96108,650,619,700.969,794.9894,798.9869,148.00014,Ube2j2
Cyb5r2,136,154.9997,129,183.0005,196.00000189049,263.0002,75,127,216.9995,190.9997,60.99996,76,77,101,111,25.99999,Cyb5r2
Slc29a1,626,572,178,572,356,1731,312,182,1235,504,92,69,88,117,364,84,Slc29a1
Gdap2,466,453,346,693,535,640,146,340,406,493,243,241,245,252,341,52,Gdap2
Dpep3,14,4,2,7,10,53,3,4,38,3,0,4,0,3,3,0,Dpep3
Ipo13,436,566,130,424,349,2267,298,177,2356,444,56,66,81,140,375,80,Ipo13
Oxnad1,1577.7764,1723.558,1112.20686,2636.8391,1719.5558,2335.7877,840,1036,2052.32348,1729.839,632.0875,513.04093,641.3545,692.2354,745.5182,129,Oxnad1
Mlph,1,0,3,3,3,9,6,1,12,1,0,0,0,0,0,5,Mlph
Exoc8,149,152,58,126,145,627,76,44,512.726,142,33,35,65,54,77,11,Exoc8
Ncoa4,3867,4272,2258.058,5460.2,3555.5,4742.079,2184.001,2346,3641.003,4523,2060.0010532,1888.995,2097.4706,2292.003,2446,485.00028,Ncoa4
Bnc1,44,46,12,71,46,113,19,21,89,43,52,16,28,27,29,1,Bnc1
Tbx6,5,7,0,4,5,27,1,4,24,0,0,1,0,0,2,0,Tbx6
Dnpep,1038,1282,285,1195,685,4672,748,396,3792,952,105,77,167,198,577,102,Dnpep
Sh3gl3,11,8,8,14,7,20,2,5,7,6,3,8,9,10,5,0,Sh3gl3
Cavin1,8726,9541,5046,15615,9156,18597,6513,5371,15387,9750,3161,2999,3059,4087,6158,1089,Cavin1
Disc1,14,19,2,7,13,99,11,3,96,3,1,1,7,0,7,2,Disc1
Sypl2,46,36,25,54,32,75,8,16,44,55,8,7,19,17,11,9,Sypl2
Phtf1,647,631,398,869,605,663,264,397,580,603,293,222,322,390,345,71,Phtf1
Tssk4,1,4,0,1,1,2,0,0,2,0,0,0,0,1,0,0,Tssk4
Sipa1l2,873,1055,370,942,868,2687,601,449,2507,975,299,213,220,339,566,96,Sipa1l2
Ovch2,8,9,5,14,4,5,0,3,1,0,4,1,0,6,1,0,Ovch2
Stub1,657.374,889.318,186.418,777.588,484.67,3678.79,639.516,245.709,3050.04,585.844,84.9399,70.1914,116.426,212.657,409.987,101.452,Stub1
Zfp428,6,16.00005,6,13,16,129,13.99997,3,103,14,0,2,3,0,4,0,Zfp428
Sufu,95,117,45,86,88,431,67,38,359,122,13,18,22,29,68,12,Sufu
Des,12319,16069,3466,13421,7116,57915,9565,3863,50742,10551,1138,871,1628,2664,7650,1357,Des
Timm23,5351.1,5853.57,2791.58,7971,4281.07,6834.24,2974,2721,5346,4960,1510.41,1254,1899,2190.54,2874,609.334,Timm23
Nr1h2,173,219,26,168,148,1980,235,61,1892,149,18,3,13,39,120,14,Nr1h2
Ppp4c,367.614,406.14,178.671,557.427,328.396,873.029,264,192.484,811.815,364.177,104.163,72.1759,99.1761,130.738,227,40.5597,Ppp4c
Or1e29-ps1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or1e29-ps1
Ddx28,230.274,214.064,111.891,343.692,139.323,368.494,115.531,82.5506,275.719,211.745,54.2169,56.9933,72.2702,87.3554,102.71,19.0057,Ddx28
Dus2,181,186,67,215,113,257,113,73,231,119,24,27,60,63,102,29,Dus2
Gadd45b,29,32,23,80,88,221,64,42,425,52,39,25,28,67,96,15,Gadd45b
Ell,143,191,57,173,139,810,125,67,718,141,32,28,38,40,112,13,Ell
Zdhhc24,89.6517,121.609,76.8274,139.499,104.098,216.258,82.9493,71.9003,202.849,92.2948,34.4312,41.2193,57.1596,53.5777,83.8236,15.7657,Zdhhc24
Sil1,235,238,93,240,159,497,140,102,497,226,71,46,81,91,190,44,Sil1
Hsd17b1,12.8451,12.0574,12.4382,43.6976,16.5489,49.5139,11.5101,10.76,23.0749,26.9703,8.1058,10.2142,12.461,7.41405,6.28475,0,Hsd17b1
Bbs1,255,317,105,250,172,753,164,129,596,222,58,53,91,106,192,59,Bbs1
Hsp90ab1,30757.04,32053.95,15020.01,40030,24648.97,46114,18050.98,14988,43929,29420.05,7963,6573,9798.99,13866.95,20526.97,3445.996,Hsp90ab1
Gmfg,303,246,115,420,140,365,120,95,372,193,62,43,83,106,157,38,Gmfg
Mdp1,424.857,451.836,244.707,625.556,372.731,738.884,229.853,298.434,557.932,429.873,156.856,134.951,198.406,236.58,278.049,34,Mdp1
Artn,1,1,0,3,0,13,2,2,17,1,0,0,1,1,1,0,Artn
St3gal3,161,179,62,140,99,654,98,67,486,120,18,16,41,36,84,7,St3gal3
Muc5b,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Muc5b
Rbm39,4942.3,4499.09,5044.48,9661.49,9220.02,6207.99,3119.17,5049.71,3745.5,8776,5587.99,5129.12,5940.63,6783.18,3784.4,996.89,Rbm39
Speg,960.684,1401.432,346.7369,1036.512,759.931,5812.619,731.877,443.8953,3802.952,721.5433,141.648,129.3655,168.9201,245.3384,399.6998,71.00003,Speg
Cox6a2,4468,6210,874,4807,2637,51846,5535,1519,42601,3083,331,254,489,840,3039,555,Cox6a2
Napsa,48.4396,69.3429,48.7067,92.3466,65.9391,228.136,108.932,23.3173,209.332,65.8892,27.2069,12.122,26.437,24.0247,58.7195,13,Napsa
Gng7,17,22,8,25,13,43,5,9,20,11,1,6,2,6,1,3,Gng7
Rom1,25,34,10,34,10,89,9,9,82,33,3,3,3,6,13,0,Rom1
Pla2g15,242,233,92,319,225,500,246,86,533,209,42,52,90,100,204,82,Pla2g15
Tollip,1287,1430,788,1638,1323,2508,747,845,2345,1560,558,515,543,792,858,245,Tollip
Pinlyp,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,Pinlyp
C1qtnf12,6,3,0,7,1,16,7,5,14,4,4,4,2,0,2,1,C1qtnf12
Psma5,1973,2079,1045,2820,1608,2680,1051,1206,2196,1979,603,593,751,939,1331,247,Psma5
Lrfn1,31,42.8062,21.4166,63.3731,32.8594,62.51454,17,16,68.65331,43.3196,18,4.1921,18.8754,15.723,33,6,Lrfn1
Prlh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Prlh
B3gat3,255,271,99,254,181,920,219,111,793,219,48,43,44,85,161,30,B3gat3
Matr3,5939.0044,6309.035,6133.9969,9588.15,8414.996,6127,3597.29,5982.0022,5353.0031,8322.531,5880.002,6128.935,5363.1908,6340.005,4909.706,990.9995,Matr3
Sycn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sycn
Pak4,149.3724,146.4649,88.25194,185.64,121.51625,851.9762,139.9735,77.26845,624.83412,95.29894,45,26.0527,44.1907,66.0168,83.2081,29,Pak4
Magi3,2258,2279,1835,3224,2652,2772,980,1593,1932.998,2453,902,886,1033,1045,983,250.99977,Magi3
Folr2,228,212,38,276,144,404,104,77,360,158,20,21,45,58,74,30,Folr2
Sgta,415,523,148,489,313,2880,390,164,2428,377,55,44,78,87,259,58,Sgta
Lrrfip1,1243,1335,666,1540,1461,2655,743,743,2822,1655,697,703,711,814,1306,298,Lrrfip1
Izumo1r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Izumo1r
Nedd8,1996.996,2034.002,969,3091.005,1327.003,2564.999,1061,887,2085,1672.998,438.9999,312.9995,520,654,1095,150,Nedd8
Or1r1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Or1r1
Slc35b2,173,229,39,210,118,803,141,54,603,132,30,14,19,27,100,17,Slc35b2
Folr1,0,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0,Folr1
Nfkbie,44,36,8,49,35,265,68,18,202,29,4,2,2,10,31,6,Nfkbie
Lamtor2,1179.9999,1403.9974,373.00044,1339.0022,705.0003,4626.0007,847.99984,413.99967,3868.9975,1015.9992,191.00043,113.99996,207.00008,342.99971,790.00046,93.00003,Lamtor2
